,CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,ALTITUD_MIN,ALTITUD_DIF
0,14,76953,515,4,660,26,1,0,1,1.2782725011311218,22215.0,660.0,0.0
1,14,84318,515,4,660,26,1,0,1,1.2782725011311218,22215.0,660.0,0.0
2,14,85579,340,4,520,32,1,0,1,1.824001042246537,20978.0,520.0,0.0
3,14,69671,340,4,520,32,1,0,1,2.4200021576950714,40722.0,520.0,0.0
4,14,14001,852,14,650-660,81,0,0,1,2.515575723218576,14126.0,654.5017182130584,9.192439862542955
5,14,17059,852,14,650-660,81,0,0,1,1.9276996570663913,6054.0,654.5017182130584,9.192439862542955
6,14,87611,602,14,650-660,81,0,0,1,2.43016764714276,12900.0,654.5017182130584,9.192439862542955
7,14,12257,215,14,650-660,17,0,0,1,2.077421045764948,5450.0,654.5017182130584,9.192439862542955
8,14,97286,142,14,650-660,17,0,0,1,2.9125844501273077,30720.0,654.5017182130584,9.192439862542955
9,14,43323,142,14,650-660,59,0,0,1,9.778279185702567,34880.0,654.5017182130584,9.192439862542955
10,14,43323,142,14,650-660,81,0,0,1,2.4125629596177927,12650.0,654.5017182130584,9.192439862542955
11,14,23258,142,14,650-660,81,0,0,1,1.550159076901738,975.0,654.5017182130584,9.192439862542955
12,14,5696,919,14,650-660,59,0,0,1,8.03512241793712,21907.6,650.0,10.0
13,14,98814,919,14,650-660,32,1,0,1,7.415300818539449,31496.5,650.0,10.0
14,14,98814,919,14,650-660,40,1,0,1,3.839899144098565,16990.0,650.0,10.0
15,14,4024,919,14,650-660,32,1,0,1,11.093942739602843,54893.9,650.0,10.0
16,14,4024,919,14,650-660,87,1,0,0,4.987927826155994,13440.0,650.0,10.0
17,14,4024,919,14,650-660,17,1,0,1,9.399220963389649,33878.0,650.0,10.0
18,14,4024,919,14,650-660,52,1,0,1,9.26545246310339,34170.0,650.0,10.0
19,14,4024,919,14,650-660,59,1,0,1,14.55964505321653,13731.2,650.0,10.0
20,14,4024,919,14,650-660,81,1,0,1,14.026884317524638,42580.0,650.0,10.0
21,14,73332,919,3,650-660,32,1,0,1,1.9936193000890499,3599.6,650.0,10.0
22,14,48410,919,14,650-660,68,0,0,0,2.234250746342992,7760.0,650.0,10.0
23,14,48410,919,14,650-660,59,0,0,1,5.504058852230883,2380.0,650.0,10.0
24,14,39664,919,14,650-660,68,0,0,0,1.4745339999314684,7040.0,650.0,10.0
25,14,39664,919,14,650-660,59,0,0,1,1.1607181897752037,1940.0,650.0,10.0
26,14,39664,919,14,650-660,59,1,0,1,1.133429516935881,3165.0,650.0,10.0
27,14,41325,919,14,650-660,68,0,0,0,2.8921494165449655,8330.0,650.0,10.0
28,14,41325,919,14,650-660,17,0,0,1,3.162372455272442,4769.0,650.0,10.0
29,14,41325,919,14,650-660,59,0,0,1,9.155644473015432,4540.0,650.0,10.0
30,14,3010,919,14,650-660,68,0,0,0,2.868540117679341,7750.0,650.0,10.0
31,14,3010,919,14,650-660,59,0,0,1,9.361726331272957,7100.0,650.0,10.0
32,14,50946,919,14,650-660,68,0,0,0,3.1597028198760757,15650.0,650.0,10.0
33,14,50946,919,14,650-660,59,0,0,1,9.014235913459647,2880.0,650.0,10.0
34,14,38795,464,14,650-660,40,1,0,1,2.082108153500649,28.0,650.0,10.0
35,14,43705,464,14,650-660,17,1,0,1,4.352637254346245,8280.0,650.0,10.0
36,14,93182,464,14,650-660,40,1,0,1,0.7439931073938144,5.6,650.0,10.0
37,14,97677,464,14,650-660,87,0,0,0,1.7026192525649475,2360.0,650.0,10.0
38,14,24404,464,14,650-660,32,1,0,1,9.131664393305236,9363.6,650.0,10.0
39,14,70378,464,14,650-660,9,1,0,0,2.4334382550739817,980.0,650.0,10.0
40,14,1592,464,3,650-660,32,1,0,1,1.3630673093808572,1907.4,650.0,10.0
41,14,20943,464,3,650-660,32,1,0,1,1.3282193273241556,1040.4,650.0,10.0
42,14,10999,464,3,650-660,32,1,0,1,1.3006629324140155,346.8,650.0,10.0
43,14,23983,464,3,650-660,32,1,0,1,1.3076915213762086,520.2,650.0,10.0
44,14,71061,464,3,650-660,32,1,0,1,1.3351598547767938,1213.8,650.0,10.0
45,14,39360,464,3,650-660,32,1,0,1,1.3560858734151253,1734.0,650.0,10.0
46,14,86582,464,14,650-660,17,0,0,1,5.9229909911397405,90640.0,650.0,10.0
47,14,86582,464,14,650-660,59,0,0,1,10.021912719798554,14324.2,650.0,10.0
48,14,83472,464,14,650-660,17,0,0,1,7.617469103342542,38930.0,650.0,10.0
49,14,83472,464,14,650-660,59,0,0,1,26.255892651238668,80920.0,650.0,10.0
50,14,77984,464,14,650-660,17,1,0,1,1.910760037499467,3127.2,650.0,10.0
51,14,77984,464,14,650-660,59,1,0,1,1.5410819652825916,1471.2,650.0,10.0
52,14,13054,464,14,650-660,17,1,0,1,1.653930931920756,6254.4,650.0,10.0
53,14,13054,464,14,650-660,59,1,0,1,1.5130655410984,4658.8,650.0,10.0
54,14,13802,464,3,650-660,32,1,0,1,0.4957147213339798,173.4,650.0,10.0
55,14,1142,464,14,650-660,59,0,0,1,0.8183110491929677,2106.5,650.0,10.0
56,14,16692,464,14,650-660,17,1,0,1,3.8008255996550955,2606.0,650.0,10.0
57,14,16692,464,14,650-660,59,1,0,1,3.4678281931275534,1471.2,650.0,10.0
58,14,78846,464,14,650-660,17,1,0,1,2.371464255848854,3127.2,650.0,10.0
59,14,78846,464,14,650-660,59,1,0,1,8.645620526310998,1716.4,650.0,10.0
60,14,59317,464,14,650-660,17,1,0,1,2.371464255848854,3127.2,650.0,10.0
61,14,59317,464,14,650-660,59,1,0,1,8.624396250046992,1471.2,650.0,10.0
62,14,10133,464,14,650-660,17,0,0,1,2.2932763940198835,588.8,650.0,10.0
63,14,75065,464,14,650-660,59,0,0,1,1.6818177096526956,3791.7,650.0,10.0
64,14,18976,464,14,650-660,32,1,0,1,3.177520043871023,1040.4,650.0,10.0
65,14,25825,464,14,650-660,17,0,0,1,0.8725943466486628,2905.328,650.0,10.0
66,14,92531,464,14,650-660,59,0,0,1,8.956776368639082,1940.0,650.0,10.0
67,14,92531,464,14,650-660,59,1,0,1,8.770930813951274,3165.0,650.0,10.0
68,14,80506,464,14,650-660,40,1,0,1,1.7166979394155821,28.0,650.0,10.0
69,14,92099,464,14,650-660,40,1,0,1,0.8512338186400802,8.4,650.0,10.0
70,14,95478,464,14,650-660,17,0,0,1,2.2836168406830932,331.2,650.0,10.0
71,14,33751,464,14,650-660,17,0,0,1,2.5537069384110027,7781.0,650.0,10.0
